Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
662 - XXX,Fox Park Access Improvements,Town of Plymouth,GRAFTON,NH,22000.00,2006,2009,Redevelopment
663 - XXX,Temple Mountain Acquisition,State of New Hampshire,HILLSBOROUGH,NH,343674.00,2007,2009,Acquisition
665 - XXX,Senior's Riverfront Park,City of Nashua,HILLSBOROUGH,NH,22000.00,2007,2009,Development
669 - XXX,Watson Park River Overlook Project,Town of Merrimack,MERRIMACK,NH,22480.00,2007,2011,Development
664 - XXX,Statewide Comprehensive Outdoor Recreation Plan,"State of New Hampshire, DRED",PLANNING,NH,34975.88,2007,2008,Planning
668 - XXX,Harborside Park,Town of Seabrook,ROCKINGHAM,NH,17321.80,2007,2010,Development
667 - XXX,Oyster River Universal Access Greenway Trail,Town of Durham,STRAFFORD,NH,5739.79,2007,2010,Development
666 - XXX,Riverside Park,City of Claremont,SULLIVAN,NH,22176.52,2007,2010,Development
670 - XXX,Water Street Outdoor Basketball Court Lighting,City of Keene,CHESHIRE,NH,21094.00,2008,2011,Development
673 - XXX,Lancaster Skate Park Improvements,Town of Lancaster,COOS,NH,21094.00,2008,2011,Development
671 - XXX,George B. White Basketball Court,Town of Deerfield,ROCKINGHAM,NH,7911.00,2008,2011,Development
672 - XXX,Exeter Skate Park Rehabiliation,Town of Exeter,ROCKINGHAM,NH,21094.00,2008,2011,Redevelopment
674 - XXX,Hiking Trails for Little River Park,Town of Lee,STRAFFORD,NH,15393.00,2008,2012,Development
675 - XXX,Umbagog SP Visitor Services & Park Mgmt.,"State of NH, DRED, Div of Parks and Recreation",COOS,NH,41108.00,2009,2013,Development
678 - XXX,Jericho Lake State Park Visitor Services,City of Berlin,COOS,NH,218678.00,2009,2011,Development
681 - XXX,Moultonborough Soccer Field Rehabilitation,Town of Moultonborough,BELKNAP,NH,21924.00,2010,2012,Redevelopment
679 - XXX,Rotary Park Boat Launch,City of Berlin,COOS,NH,21924.00,2010,2013,Development
676 - XXX,Lafayette Regional School Playground Project,White Mountain School Administrative Unit #35,GRAFTON,NH,21924.00,2010,2013,Redevelopment
677 - XXX,Lyons Park Recreation Field Lighting,Town of Pelham,HILLSBOROUGH,NH,21924.00,2010,2013,Redevelopment
680 - XXX,Hedgehog Park Addition of Skate Park,Town of Salem,ROCKINGHAM,NH,21924.00,2010,2013,Redevelopment
683 - XXX,Jericho Mountain State Park Phase II,Dept. of Resources & Economic Dev.,COOS,NH,50431.50,2011,2012,Redevelopment
682 - XXX,Statewide Comprehensive Outdoor Recreation Plan,Department of Resources and Economic Development,PLANNING,NH,81229.50,2011,2012,Planning
